Time,open,high,low,close,tick_volume,spread,real_volume,EMA_50_M5,RSI_M5,MACD_M5,MACD_signal_M5,MACD_histogram_M5,Bollinger_upper_M5,Bollinger_lower_M5
2024-10-29 13:30:00,1.0798,1.08026,1.0798,1.08025,143,4,0,1.08025,,0.0,0.0,0.0,,
2024-10-29 13:35:00,1.08026,1.08036,1.08001,1.08028,140,4,0,1.080251176470588,,2.3931623931439105e-06,2.3931623931439105e-06,2.3931623931439105e-06,,
2024-10-29 13:40:00,1.08028,1.08038,1.07991,1.07993,131,4,0,1.0802385813148787,,-2.367935325220394e-05,-2.367935325220394e-05,-2.367935325220394e-05,,
2024-10-29 13:45:00,1.07993,1.08021,1.07983,1.07995,146,4,0,1.0802272644005697,,-4.2241246099639085e-05,-4.2241246099639085e-05,-4.2241246099639085e-05,,
2024-10-29 13:50:00,1.07995,1.08006,1.07974,1.07975,131,4,0,1.080208548149567,,-7.225707387337188e-05,-7.225707387337188e-05,-7.225707387337188e-05,,
2024-10-29 13:55:00,1.07977,1.07992,1.0797,1.0799,123,4,0,1.080196448222133,,-8.298449365207183e-05,-8.298449365207183e-05,-8.298449365207183e-05,,
2024-10-29 14:00:00,1.07986,1.0799,1.07965,1.07988,162,4,0,1.0801840384879315,,-9.20389166279012e-05,-9.20389166279012e-05,-9.20389166279012e-05,,
2024-10-29 14:05:00,1.07987,1.07995,1.07967,1.07971,153,4,0,1.080165448743307,,-0.00011164521478113087,-0.00011164521478113087,-0.00011164521478113087,,
2024-10-29 14:10:00,1.0797,1.07987,1.07953,1.07986,130,4,0,1.0801534703612166,,-0.0001137681524820966,-0.0001137681524820966,-0.0001137681524820966,,
2024-10-29 14:15:00,1.07985,1.07991,1.0796,1.0796,152,4,0,1.0801317656411689,,-0.00013487566033942855,-0.00013487566033942855,-0.00013487566033942855,,
2024-10-29 14:20:00,1.0796,1.07971,1.0794,1.07946,158,4,0,1.0801054218905348,,-0.00016104392820093238,-0.00016104392820093238,-0.00016104392820093238,,
2024-10-29 14:25:00,1.07947,1.07947,1.07879,1.0788,200,4,0,1.0800542288752197,,-0.00023236044657415356,-0.00023236044657415356,-0.00023236044657415356,,
2024-10-29 14:30:00,1.0788,1.07885,1.0782,1.07825,238,4,0,1.0799834748016819,,-0.00032946187325921805,-0.00032946187325921805,-0.00032946187325921805,,
2024-10-29 14:35:00,1.07826,1.07856,1.07768,1.07787,301,4,0,1.0799005934369101,11.363636363638818,-0.00043209732865889805,-0.00043209732865889805,-0.00043209732865889805,,
2024-10-29 14:40:00,1.07788,1.0781,1.07765,1.07771,237,4,0,1.0798146878119335,10.802469135804259,-0.0005203490691725321,-0.0005203490691725321,-0.0005203490691725321,,
2024-10-29 14:45:00,1.07768,1.07784,1.07721,1.07757,217,4,0,1.0797266608389167,9.552238805972536,-0.0005947303579605379,-0.0005947303579605379,-0.0005947303579605379,,
2024-10-29 14:50:00,1.07757,1.07802,1.07757,1.07798,153,4,0,1.07965816433543,21.40762463343235,-0.0006135221898262433,-0.0006135221898262433,-0.0006135221898262433,,
2024-10-29 14:55:00,1.07798,1.07821,1.07773,1.07773,227,4,0,1.079582550047766,19.505494505498618,-0.0006411964490962152,-0.0006411964490962152,-0.0006411964490962152,,
2024-10-29 15:00:00,1.07772,1.07773,1.07715,1.07717,242,4,0,1.0794879402419713,17.75000000000327,-0.0007002438436911618,-0.0007002438436911618,-0.0007002438436911618,,
2024-10-29 15:05:00,1.07716,1.07745,1.07687,1.07741,220,3,0,1.079406452389345,19.559902200490498,-0.0007193807614658265,-0.0007193807614658265,-0.0007193807614658265,1.0767522814570547,1.0767522814570547
2024-10-29 15:10:00,1.07738,1.0777,1.07719,1.07748,183,4,0,1.0793309052368216,21.01449275362549,-0.0007205919561728003,-0.0007205919561728003,-0.0007205919561728003,1.0766088185800493,1.0766088185800493
