Time,open,high,low,close,tick_volume,spread,real_volume,EMA_12_M5,EMA_26_M5,EMA_50_M5,RSI_14_M5,RSI_56_M5,RSI_224_M5,MACD_12_26_9_M5,Bollinger_20_2_M5_Upper,Bollinger_20_2_M5_Middle,Bollinger_20_2_M5_Lower,target
2024-11-18 23:50:00,1.05993,1.06004,1.05992,1.05992,34,4,0,0.3698888967634204,0.3634220784583455,0.35306373603877717,0.9132703133511375,0.7086401219253132,0.8394094328498498,0.6599738060213518,0.3437355906902084,0.36392524421981776,0.4128486898973236,0
2024-11-08 16:40:00,1.07593,1.07604,1.07566,1.07572,232,4,0,0.6752312913459662,0.6820495930033488,0.6931336396789014,0.544726992931276,0.3946638932101485,0.40647195787385626,0.54554415693244,0.6541045448624132,0.6734243578621815,0.6849648832466038,0
2024-11-01 00:30:00,1.08829,1.08837,1.08829,1.08836,49,4,0,0.9073039084091228,0.9090826153340785,0.9076738373102344,0.5500489940766385,0.8273944025824994,0.7377688770825539,0.6447059154937287,0.8576558082537886,0.9078753818881253,0.9212429025199569,1
2024-11-19 19:15:00,1.05883,1.05883,1.05835,1.05862,141,4,0,0.34597802027270674,0.34093094180693484,0.33230771549515126,0.4559422960198913,0.5974171744668855,0.5304452157191848,0.6386837978754422,0.3338129651949906,0.34596235808848164,0.38932708218237977,0
2024-10-31 21:45:00,1.08743,1.08773,1.08738,1.08772,142,4,0,0.887306272981526,0.8856076321553026,0.885435768484399,0.6343641375289459,0.6918833554435418,0.6693010863294551,0.684261030863039,0.8429870179554726,0.8853864142118972,0.8939399723824053,1
2024-11-13 10:10:00,1.05936,1.06047,1.05936,1.05962,233,4,0,0.381627957604163,0.3859174897181461,0.38976192731829684,0.25515152728359214,0.22697366750298587,0.4312064852569164,0.5295875091132821,0.372646149424515,0.38662165730018927,0.42692881885067635,1
2024-11-06 18:50:00,1.07281,1.07312,1.0726,1.073,198,4,0,0.6204729665235185,0.614400885735126,0.609144622805541,0.577540357267698,0.5801968686348394,0.27373251273733756,0.6952778338821073,0.6000800599473521,0.6194885527854233,0.6374836384340661,1
2024-11-21 13:55:00,1.05172,1.05207,1.05172,1.052,200,4,0,0.22811625705688598,0.2247488238371993,0.22543345945926063,0.5143941938068143,0.4219532729267498,0.5238934682071532,0.5991414708041647,0.2108730540502357,0.22523856221475924,0.28497770084416985,0
2024-10-30 10:35:00,1.08395,1.08438,1.08395,1.08424,189,4,0,0.816219550525993,0.8076007136883376,0.8029931151441012,0.8113058934884915,0.8526723767443619,0.8895075612405645,0.7579643912506373,0.7906882368431916,0.8021819484781041,0.7910405397589031,1
2024-11-04 02:50:00,1.08743,1.08783,1.08743,1.08781,79,4,0,0.8900002556745434,0.8897583346888709,0.8836562575388562,0.5740996296989129,0.8080615215639896,0.5846642254729992,0.6667799210728146,0.8464769654799547,0.8904593972768069,0.899925966777932,1
2024-11-06 04:20:00,1.08078,1.08183,1.0807,1.08081,349,3,0,0.8013747828556532,0.8395179941744573,0.8871872870656219,0.2757478761462531,0.10515666521295508,0.2787679696226639,0.18056671799713053,0.8145736615107104,0.8149964168521073,0.7917665063312711,0
2024-11-05 23:20:00,1.09262,1.09262,1.09247,1.09253,30,4,0,0.9889251816907496,0.995614772299529,0.9988599755672496,0.2898070609207222,0.6177442543192347,0.8883093483285911,0.597398699365413,0.9436391431746927,0.9916927544977909,0.9930924389135676,1
2024-11-05 05:30:00,1.08784,1.08795,1.08777,1.08778,86,4,0,0.8980601467284934,0.9009431548503564,0.9052515925471099,0.486942658025636,0.49831925221692897,0.49984297019865576,0.6296452766502209,0.8486397351836992,0.8985403387017712,0.9127056498309081,0
2024-10-30 16:25:00,1.08472,1.08519,1.08462,1.08472,289,4,0,0.8281058850069165,0.8175087328498698,0.8152850091783783,0.8948016645824924,0.5731967443128516,0.7485532292789989,0.7841960082943883,0.8121356492860201,0.8095745483347763,0.7841347499410638,1
2024-11-19 18:50:00,1.05771,1.05816,1.05763,1.05814,193,4,0,0.3421549358529816,0.33903079297249405,0.33045211446750145,0.304896130167853,0.6011679763218644,0.5171314440960812,0.6144253654745546,0.3356972117188519,0.34377475200845,0.3835083531963406,1
2024-11-25 07:00:00,1.04791,1.04797,1.04762,1.04774,123,4,0,0.1482901193665711,0.14416920538442568,0.13427820956392367,0.545343624080006,0.4771915924744192,0.7701933184519671,0.5956140514638372,0.13026422089196998,0.14594727114999984,0.21630929216555472,1
2024-11-14 17:35:00,1.05657,1.05661,1.05589,1.05631,275,4,0,0.304742113780339,0.2849346266820483,0.2637467129047657,0.6003259115712685,0.7388468369304902,0.5800834330534366,0.8135796881614207,0.3009704082911,0.29219628106966056,0.32192442480089056,1
2024-11-06 20:45:00,1.07518,1.07552,1.07507,1.07537,190,4,0,0.6528640980878251,0.6421207413456145,0.6309978799583043,0.6589859438958442,0.6712420888253708,0.3227067362725471,0.7579100180068081,0.6334596998510129,0.6426847207030519,0.648212954592978,0
2024-11-07 23:35:00,1.08005,1.0802,1.08004,1.08017,31,4,0,0.7528602149718431,0.7511620403005104,0.7503876334214823,0.4713947678473697,0.5544155446969659,0.7586573046987335,0.6627092996242335,0.7179963066918837,0.7528099422924583,0.7697748585534292,1
2024-11-06 14:50:00,1.0687,1.06973,1.0686,1.06965,303,4,0,0.5647266752469413,0.587585387423534,0.6130502255044448,0.374220550185926,0.3357404340008714,0.1537056526521723,0.3305909046588751,0.5755953341328883,0.5759250179157398,0.5808406858740511,1
