Time,open,high,low,close,tick_volume,spread,real_volume,EMA_50_M5,RSI_M5,MACD_M5,MACD_signal_M5,MACD_histogram_M5,Bollinger_upper_M5,Bollinger_lower_M5,target
2024-11-04 16:00:00,1.0905,1.09064,1.09022,1.09062,222,4,0,0.9536217246188485,0.0,0.6087443759975769,0.6087443759975769,0.6087443759975769,0.9970475132245806,0.9970475132245806,0
2024-11-25 11:35:00,1.04767,1.04793,1.04738,1.04755,242,4,0,0.11935469629808182,0.0,0.6831191560425873,0.6831191560425873,0.6831191560425873,0.955411570133006,0.955411570133006,1
2024-11-25 13:20:00,1.04862,1.04903,1.04856,1.04857,157,4,0,0.1386348966531621,0.0,0.6750197891588677,0.6750197891588677,0.6750197891588677,0.9593932954762036,0.9593932954762036,0
2024-11-12 20:10:00,1.06115,1.06119,1.06088,1.06113,145,4,0,0.3849938076036885,0.0,0.6286961244082133,0.6286961244082133,0.6286961244082133,0.969272772875087,0.969272772875087,1
2024-11-06 23:25:00,1.07305,1.07309,1.07302,1.07304,42,4,0,0.631682106518344,0.0,0.5678048219995644,0.5678048219995644,0.5678048219995644,0.9819706820801356,0.9819706820801356,0
2024-11-07 23:00:00,1.08017,1.08021,1.07995,1.08011,132,4,0,0.7474491727898318,0.0,0.6582865406853708,0.6582865406853708,0.6582865406853708,0.9863892003097998,0.9863892003097998,1
2024-11-04 09:00:00,1.08916,1.08921,1.08887,1.08906,224,4,0,0.9388419323721351,0.0,0.5894760975923861,0.5894760975923861,0.5894760975923861,0.9967120143422861,0.9967120143422861,0
2024-11-14 03:40:00,1.0552,1.05525,1.05508,1.05522,126,4,0,0.29697630002969433,0.0,0.5587417097621271,0.5587417097621271,0.5587417097621271,0.9656874637543059,0.9656874637543059,1
2024-11-04 16:10:00,1.0908,1.09092,1.0905,1.09055,198,3,0,0.9543184714647417,0.0,0.6236697803257705,0.6236697803257705,0.6236697803257705,0.9970488766003455,0.9970488766003455,0
2024-11-11 03:15:00,1.07213,1.07226,1.07206,1.07218,125,4,0,0.5928232131049391,0.0,0.6580303012068678,0.6580303012068678,0.6580303012068678,0.9801206619364017,0.9801206619364017,1
2024-11-13 18:15:00,1.05713,1.05754,1.05677,1.05688,246,4,0,0.37137712236992115,0.0,0.3966343610679452,0.3966343610679452,0.3966343610679452,0.9661497800627055,0.9661497800627055,0
2024-11-13 00:40:00,1.06208,1.06222,1.06175,1.06185,49,4,0,0.4051463771323931,0.0,0.6281998405211366,0.6281998405211366,0.6281998405211366,0.9716648308180732,0.9716648308180732,1
2024-11-19 04:05:00,1.05943,1.05963,1.05935,1.05937,144,4,0,0.35608668699160617,0.0,0.616991040900924,0.616991040900924,0.616991040900924,0.9689694868612112,0.9689694868612112,0
2024-11-18 04:55:00,1.05406,1.05422,1.05388,1.05412,161,4,0,0.25499614237596546,0.0,0.6186729315012123,0.6186729315012123,0.6186729315012123,0.9644240551989486,0.9644240551989486,0
2024-11-21 19:50:00,1.04853,1.04872,1.04828,1.04866,148,4,0,0.17661637575422162,0.0,0.4416571603717886,0.4416571603717886,0.4416571603717886,0.9576334823533922,0.9576334823533922,1
2024-11-06 10:50:00,1.07718,1.07812,1.07701,1.07711,327,4,0,0.6665203283194323,0.0,0.7673909336349375,0.7673909336349375,0.7673909336349375,0.9815191105449317,0.9815191105449317,0
2024-11-05 17:05:00,1.08993,1.08993,1.08936,1.0895,336,4,0,0.946540386522507,0.0,0.649363883126281,0.649363883126281,0.649363883126281,0.9966246075024828,0.9966246075024828,1
2024-11-18 15:05:00,1.05488,1.05521,1.05454,1.05514,194,4,0,0.26357336137358445,0.0,0.6302747160504949,0.6302747160504949,0.6302747160504949,0.9639448888718708,0.9639448888718708,1
2024-10-31 16:35:00,1.08718,1.08718,1.08666,1.08666,268,3,0,0.8896299103148984,0.0,0.5679071628650898,0.5679071628650898,0.5679071628650898,0.9930657721538644,0.9930657721538644,0
2024-11-25 07:10:00,1.04808,1.04828,1.04806,1.04821,115,4,0,0.1347848312690303,0.0,0.6086713664635017,0.6086713664635017,0.6086713664635017,0.9586266140155806,0.9586266140155806,0
2024-11-08 19:30:00,1.06975,1.0702,1.06974,1.07011,188,4,0,0.6290579451871778,0.0,0.3041630700593294,0.3041630700593294,0.3041630700593294,0.9776396086989813,0.9776396086989813,1
2024-11-07 22:30:00,1.08029,1.08048,1.08008,1.08031,200,4,0,0.7461454022830409,0.0,0.6722415679837048,0.6722415679837048,0.6722415679837048,0.9858839536166258,0.9858839536166258,0
2024-11-27 20:40:00,1.05716,1.0572,1.05691,1.05707,129,4,0,0.30547094004226594,0.0,0.6427574502482949,0.6427574502482949,0.6427574502482949,0.9672125718220895,0.9672125718220895,0
2024-11-26 09:20:00,1.04799,1.04815,1.04772,1.04773,181,4,0,0.13009693137404454,0.0,0.6254742361192368,0.6254742361192368,0.6254742361192368,0.9584965751284101,0.9584965751284101,1
2024-10-31 07:35:00,1.08499,1.08507,1.08499,1.08502,51,4,0,0.8528020584653255,0.0,0.6140601638493239,0.6140601638493239,0.6140601638493239,0.9925973881213224,0.9925973881213224,1
2024-11-14 00:20:00,1.05594,1.05594,1.05581,1.05587,15,20,0,0.3033330259070297,0.0,0.5811003739583032,0.5811003739583032,0.5811003739583032,0.9662055109461851,0.9662055109461851,1
2024-10-30 12:10:00,1.08388,1.08427,1.08387,1.08427,150,4,0,0.819461803718184,0.0,0.668318319835504,0.668318319835504,0.668318319835504,0.9910661266315582,0.9910661266315582,0
