open,high,low,tick_volume,spread,real_volume,EMA_50,RSI,MACD,MACD_signal,MACD_histogram,Bollinger_upper,Bollinger_lower,EMA_50_H1,RSI_H1,MACD_H1,MACD_signal_H1,MACD_histogram_H1,Bollinger_upper_H1,Bollinger_lower_H1,EMA_50_H4,RSI_H4,MACD_H4,MACD_signal_H4,MACD_histogram_H4,Bollinger_upper_H4,Bollinger_lower_H4,Data_Split,close
-0.6928097643142489,-0.682595273329488,-0.6797129355382718,0.3841489430705716,-0.3605580556125496,0.0,-0.5785255007006576,-0.2530500734274629,-1.2990955843341732,-1.3250444743042697,0.04916837293788535,-0.6407568659863417,-0.6168630989475646,-0.6432520472569838,-1.3167616125876265,-0.06582022949928086,0.3950761318915541,-1.2870700820163221,-0.544524844667138,-0.3942054573490284,-0.7949112506044239,0.6890369257977835,0.41665299816059764,0.3183820144683996,0.36613012168587195,-0.8362553167382041,-0.2780008398462432,train,-0.6757223666758093
-0.6847218351645801,-0.7008025820459212,-0.6918212729440071,0.23575696004498295,-0.3605580556125496,0.0,-0.6701698869536634,-0.8276069839292242,-0.03667848142693444,0.18185621142984926,-0.663887483088197,-0.686709637351939,-0.6156284782790604,-0.6737651225247658,-1.798860662270857,-0.49918020178425826,-0.03921835273067717,-1.3824831276827214,-0.49279619039834255,-0.5387214654746008,-0.8227766458425982,-0.06305554465468763,0.28861746896598217,0.31942014796712037,-0.012701870557801283,-0.8250664953097206,-0.3122802648438794,train,-0.701935931882685
0.8593986383276777,1.0059640239279177,0.8762084210981008,3.4261845950951395,-0.5605314309942999,0.0,0.8225789068415154,,0.9120126134648278,0.4940554989543179,1.2888715113511424,,,0.9139396368198759,,0.2633857341257004,0.29272883368449715,-0.0214366343009373,,,0.8582743539058006,,0.7173814333937705,0.791090857113653,-0.023886758397945636,,,train,0.9535515323356901
1.3568062810327464,1.3586463372129014,1.3437247820415883,1.7514750723777814,-0.3605580556125496,0.0,1.4302170081550616,-1.3998074128678555,-0.43965715386103515,0.4224645312663883,-2.6257554108392105,1.5405692907480633,1.4081566309462945,1.2064433715951457,0.4782092715717808,0.8599679138739339,0.9438236319218959,-0.03700401328179107,1.18988100894879,1.5030674556612307,0.99379800925073,,1.3783974937897674,1.329284769890739,0.46786360341783323,,,train,1.333984299184084
-0.5728388152607328,-0.5531210780126312,-0.6010087424010301,2.5146338422236663,-0.5605314309942999,0.0,-0.8570051777293253,1.3778716958394799,2.7329273846159605,1.8790615733127485,2.6528930050467654,-0.666704193836227,-0.8839825931081475,-1.2122219162268442,1.3619445056756638,1.5252572129506528,1.03054769391394,1.7104144986339855,-0.9329359011740618,-1.1283575466133087,-1.5318395421243791,1.1598796387870571,1.013088950127441,0.4451243185337318,1.776459640830033,-1.1025351505880459,-1.192172294603156,train,-0.5856552451958078
-0.74875127426618,-0.7331711308751391,-0.7348731392754918,-0.1670212795959006,-0.3605580556125496,0.0,-0.7365438320124762,0.2053388356106037,-0.20910257864819873,-0.4563549194820301,0.7454261686657248,-0.7788095913827026,-0.7186854469438602,-0.4847294201320187,-1.0277582543056736,-1.1029656357374915,-1.1149399946134806,-0.21635341265425195,-0.4380494950111144,-0.6757204171985076,-0.09180419796246347,-1.271361252532109,-1.6362730904823655,-1.5317617029291726,-0.6798615596017287,-0.14684694582469676,-0.31355082756594455,train,-0.7241166409038772
1.664821582816228,1.65738106911588,1.6612322962363055,0.6279357723268959,-0.3605580556125496,0.0,1.644056847299469,0.2748462557433923,-0.06099563415787015,-0.09689492861759821,0.10753346516668963,1.6622932395019379,1.64280559520568,1.4409440852371271,0.8696732484875044,1.0537091376690826,1.0512084901032386,0.2451699567022898,1.5801720537418784,1.4885441569347257,1.1763829005522417,0.7841669557738076,1.5056931071747532,1.5402128089417237,0.2735896881718017,1.1621335522172038,1.9035495751213067,train,1.6693835052924624
-0.8626562764574446,-0.8235333296900404,-0.8492296592185054,-1.5873445456979636,3.0389893258772043,0.0,-0.8276673954623905,0.2945767792059731,-0.040752632983280135,-0.36534429796601475,0.9839112861816943,-0.8766355657248135,-0.843228337284312,-0.7905984634264096,-0.6576457566260392,-0.0463725458108152,0.16345566282481147,-0.5896630384075807,-0.7700674547115987,-0.6410917172963724,-0.522582884445808,-0.014211728075510043,-0.8975102813070248,-1.275670985695521,0.8000757293588677,-0.6359331325314526,-0.5461316600215008,train,-0.858545180426278
-0.874114176086152,-0.880852634908444,-0.9016991213100047,1.5288870978393985,-0.3605580556125496,0.0,-1.0985632484799208,1.5105485993404415,2.854742533132957,2.428090037439962,1.3594636105481077,-0.870287592382383,-1.170287514103683,-1.3375490653671804,0.468320724241156,1.2240396172981054,0.8795204005447982,1.2277404101308886,-1.1006230925024232,-1.3386745347081843,-1.40262649905947,0.16454094885675685,-0.23453293523821375,-0.6128589281454137,0.9619262179820482,-1.0081988237299813,-1.2523099516446552,train,-0.9150051670256831
0.41928049376616167,0.4125406287256239,0.43089067873179704,-0.24121727110869493,-0.3605580556125496,0.0,0.4007034296943729,0.9320276506937679,0.5086390074421872,0.6180321916993738,-0.320333406822249,0.4064331542839271,0.4467075589277887,0.6088089633577756,-1.1937001104134106,-0.9553075474705133,-0.9926118020382144,-0.11304786209114095,0.6820455098577187,0.42632214108079136,0.8001405442698052,0.3145461509140277,-0.579916538258251,-0.4336096778412123,-0.5352625475628863,0.6255791736344457,0.8334673362434688,train,0.4252473720126418
