open,high,low,close,tick_volume,spread,real_volume,Time,EMA_50,RSI,MACD,MACD_signal,MACD_histogram,Bollinger_upper,Bollinger_lower,EMA_50_H1,RSI_H1,MACD_H1,MACD_signal_H1,MACD_histogram_H1,Bollinger_upper_H1,Bollinger_lower_H1,EMA_50_H4,RSI_H4,MACD_H4,MACD_signal_H4,MACD_histogram_H4,Bollinger_upper_H4,Bollinger_lower_H4
1.07855,1.08098,1.07855,1.07997,486,3,0,2024-10-29 16:00:00,1.0780159019432125,,0.00034034015255168804,0.0001614702144222789,0.00017886993812940913,,,1.08003,,0.0,0.0,0.0,,,1.08056,,0.0,0.0,0.0,,
1.08057,1.0807,1.08041,1.08055,146,4,0,2024-10-29 20:00:00,1.0798113010022534,60.17699115044236,0.00021426880632557932,0.0002216780515882359,-7.409245262656589e-06,1.081170301759514,1.079254698240486,1.0800850410549518,,0.00011857588287345067,2.0650643293268444e-05,9.792523958018223e-05,,,1.0805913725490197,,6.381766381746701e-05,1.2763532763493403e-05,5.1054131053973605e-05,,
1.08133,1.08163,1.08121,1.08161,52,8,0,2024-10-30 00:00:00,1.0811792333823251,44.99999999999352,4.360639657652321e-05,5.8902972178094456e-05,-1.5296575601571246e-05,1.0817977495222104,1.0811712504777895,1.0803123562298633,,0.0004012413127365555,0.00019827353694348078,0.00020296777579307472,,,1.080652495194156,,0.000176109934172608,4.543281304531633e-05,0.00013067712112729168,,
1.08215,1.08216,1.082,1.08206,121,4,0,2024-10-30 04:00:00,1.0820229452621866,43.33333333333888,2.828603121662887e-05,6.3473727661623e-05,-3.518769644499412e-05,1.082476255342514,1.081970744657486,1.0805655888489156,,0.0005338205354670222,0.0003859912144261355,0.00014782932104088673,,,1.0806876914610521,,0.00021421800998733254,7.918985243371958e-05,0.00013502815755361296,,
1.08154,1.08185,1.08154,1.08181,127,4,0,2024-10-30 08:00:00,1.081639179063733,59.740259740246636,-9.534926954879452e-06,-3.291196713610498e-05,2.337704018122553e-05,1.0817764833054204,1.0813895166945795,1.0807401793711409,74.79838709677733,0.0004744410245041131,0.00043333536406648055,4.110566043763253e-05,,,1.0808156251292462,,0.000433086525112758,0.00014996918696952728,0.00028311733814323075,,
1.08395,1.08414,1.08368,1.08399,173,4,0,2024-10-30 12:00:00,1.0831988318726034,48.78048780487854,0.00021855007744386867,0.0003181927138127209,-9.964263636885225e-05,1.085191063410265,1.0829439365897353,1.081100721424084,63.85737439221992,0.00072595857405644,0.0005504847783480877,0.0001754737957083524,1.0838639432532404,1.0796970567467596,1.0809534437516288,,0.0006299426378166828,0.0002459638771389584,0.0003839787606777244,,
1.08434,1.08477,1.08421,1.08467,308,3,0,2024-10-30 16:00:00,1.0826597855766422,88.23529411764798,0.00043996519584776905,5.6771718863200644e-05,0.0003831934769845684,1.0844330405683673,1.0798909594316324,1.0814281787202304,63.022813688212935,0.0008028912726163462,0.0006303912318715043,0.00017250004074484187,1.0844793858429653,1.0802366141570345,1.0811748773299963,,0.0009580784225526884,0.0003883867862217044,0.000569691636330984,,
1.08659,1.08666,1.0865,1.08662,121,4,0,2024-10-30 20:00:00,1.085548196377012,54.51612903225527,0.00028015765772626544,0.0002730880661514253,7.069591574840122e-06,1.0869332949379655,1.0854677050620343,1.0821787123922209,72.00000000000111,0.0013983303310711737,0.000994537472546726,0.00040379285852444775,1.0871341607458778,1.0795328392541217,1.0813460586111727,,0.0011196881864050656,0.0005346470662583767,0.0005850411201466889,,
1.08554,1.08576,1.08554,1.08564,68,8,0,2024-10-31 00:00:00,1.0857958964764483,50.0,-0.00012782045480852489,-0.0001520677267961893,2.4247271987664406e-05,1.0859102079753458,1.0853357920246542,1.0827023835296818,61.281588447653434,0.0012540681933370657,0.0011797414917888035,7.432670154826218e-05,1.088015583885274,1.080129416114726,1.0814681739597543,,0.0011473916972704057,0.0006571959924607826,0.0004901957048096231,,
1.08447,1.08476,1.08443,1.08465,140,4,0,2024-10-31 04:00:00,1.0854745093045963,30.89005235601637,-0.00026038992148014195,-0.00017306279965755212,-8.732712182258983e-05,1.0859683860569755,1.0845846139430244,1.083057600827277,67.96714579055383,0.0008804914515592177,0.0010831356636815466,-0.0002026442121223289,1.0879178895943025,1.081583110405697,1.0816113828240776,,0.0012086706109424306,0.0007674909161571122,0.00044117969478531835,,
1.08513,1.08515,1.085,1.08509,89,4,0,2024-10-31 08:00:00,1.0850061779986686,64.8648648648819,4.315326717629908e-05,1.8226330070381683e-06,4.133063416926091e-05,1.0851914035008878,1.084572596499112,1.0833462582984137,40.96153846153705,0.0006283132080140419,0.0008505602358828174,-0.0002222470278687755,1.0877437899970095,1.0824982100029905,1.081803093301565,,0.0013529926018716054,0.0008845912533000109,0.00046840134857159457,,
1.0865,1.08693,1.08647,1.08677,174,3,0,2024-10-31 12:00:00,1.0856373374462032,76.56250000000162,0.0002380887099651119,0.00014350446012939094,9.458424983572095e-05,1.086558811007392,1.0850961889926078,1.0837659368945511,62.6262626262629,0.0007307404681655694,0.0007504857050811778,-1.9745236915608383e-05,1.087090048232134,1.084313951767866,1.081964932779935,,0.0014051765822076234,0.0009887083190815334,0.00041646826312609006,,
1.08593,1.08621,1.0855,1.08563,328,4,0,2024-10-31 16:00:00,1.0870346415225123,26.53399668325126,-0.0001836594280244519,0.0001339232716854255,-0.0003175826997098774,1.0893471780635153,1.0859168219364845,1.0842140200085177,57.66331658291482,0.0007753732795994228,0.0007821483349690848,-6.775055369661969e-06,1.0874389140960432,1.0840920859039571,1.082128660906212,,0.0014468001954943688,0.0010803266943641004,0.00036647350113026833,,
